leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
MAL000179,Harriett L. Stanley,Harriett,L.,Stanley,,,False,ma,,,,,http://www.malegislature.gov/Images/MemberProfile/Web/hstanley.jpg,2011-07-08 21:34:37.498000,2013-01-04 00:07:59.485000
MAL000001,Steven A. Baddour,Steven,A.,Baddour,,,False,ma,,,,65abb05aa7034ebeab0b178d9e901db6,http://www.malegislature.gov/Images/MemberProfile/Web/sbaddour.jpg,2011-07-08 21:34:37.089000,2013-01-04 00:07:59.493000
MAL000119,Michael F. Kane,Michael,F.,Kane,,,False,ma,,,,c21f7732900c49ae9a5c3997da604f3a,http://www.malegislature.gov/Images/MemberProfile/Web/mkane.jpg,2011-07-08 21:34:37.339000,2013-01-04 00:07:59.494000
MAL000154,Vincent A. Pedone,Vincent,A.,Pedone,,,False,ma,,,,4b45c7626b4a405985445866317fdfc0,http://www.malegislature.gov/Images/MemberProfile/Web/vpedone.jpg,2011-07-08 21:34:37.432000,2012-06-05 15:28:06.935000
MAL000177,Christopher N. Speranzo,Christopher,N.,Speranzo,,,False,ma,,,,1263a3945bef4fdfb12c94c44c5e2485,http://www.malegislature.gov/Images/MemberProfile/Web/CSperanzo.jpg,2011-07-08 21:34:37.495000,2012-06-05 15:29:04.128000
MAL000189,James E. Vallee,James,E.,Vallee,,,False,ma,,,,cd9e6d92a41c48418b1714029e38b4e9,http://www.malegislature.gov/Images/MemberProfile/Web/jvallee.jpg,2011-07-08 21:34:37.529000,2013-01-04 00:07:59.495000
MAL000002,Frederick E. Berry,Frederick,E.,Berry,,,False,ma,,,,ab934656c408433eb1db833dc686a983,http://www.malegislature.gov/Images/MemberProfile/Web/fberry.jpg,2011-07-08 21:34:37.091000,2013-01-04 00:07:59.471000
MAL000014,Susan C. Fargo,Susan,C.,Fargo,,,False,ma,,,,e660eb92771744e3a958f520e2411c42,http://www.malegislature.gov/Images/MemberProfile/Web/sfargo.jpg,2011-07-08 21:34:37.113000,2013-01-04 00:07:59.472000
MAL000038,Steven A. Tolman,Steven,A.,Tolman,,,False,ma,,,,586d56f2dc64478ea88e75a1d363c765,http://www.malegislature.gov/Images/MemberProfile/Web/stolman.jpg,2011-07-08 21:34:37.181000,2012-06-29 04:07:33.995000
MAL000041,Paul Adams,Paul,,Adams,,,False,ma,,,,f9574401da814eb5b07991c31ebdd42b,http://www.malegislature.gov/Images/MemberProfile/Web/padams.jpg,2011-07-08 21:34:37.187000,2013-01-04 00:07:59.474000
MAL000042,Kevin Aguiar,Kevin,,Aguiar,,,False,ma,,,,68895d5150c34a4aa941387ed8425713,http://www.malegislature.gov/Images/MemberProfile/Web/kaguiar.jpg,2011-07-08 21:34:37.189000,2013-01-04 00:07:59.475000
MAL000047,Demetrius J. Atsalis,Demetrius,J.,Atsalis,,,False,ma,,,,1b6914b36c934027a4f12a91dd4faf22,http://www.malegislature.gov/Images/MemberProfile/Web/datsalis.jpg,2011-07-08 21:34:37.198000,2013-01-04 00:07:59.476000
MAL000052,Richard Bastien,Richard,,Bastien,,,False,ma,,,,db11d4147713403b90780a90208cd231,http://www.malegislature.gov/Images/MemberProfile/Web/rbastien.jpg,2011-07-08 21:34:37.207000,2013-01-04 00:07:59.478000
MAL000073,Geraldine Creedon,Geraldine,,Creedon,,,False,ma,,,,4170026b92914bdfa31de39fc800a91b,http://www.malegislature.gov/Images/MemberProfile/Web/gcreedon.jpg,2011-07-08 21:34:37.253000,2013-01-04 00:07:59.479000
MAL000128,Steven L. Levy,Steven,L.,Levy,,,False,ma,,,,f5d78fbea2154f749c8a1cb5ec6b33d3,http://www.malegislature.gov/Images/MemberProfile/Web/slevy.jpg,2011-07-08 21:34:37.356000,2013-01-04 00:07:59.480000
MAL000143,Charles A. Murphy,Charles,A.,Murphy,,,False,ma,,,,598fdcd33f8444a79edcc449f46ba48e,http://www.malegislature.gov/Images/MemberProfile/Web/cmurphy.jpg,2011-07-08 21:34:37.397000,2013-01-04 00:07:59.481000
MAL000165,George T. Ross,George,T.,Ross,,,False,ma,,,,a53ef9e423ad4cfc888f867b77fdcea7,http://www.malegislature.gov/Images/MemberProfile/Web/gross.jpg,2011-07-08 21:34:37.471000,2013-01-04 00:07:59.482000
MAL000173,Stephen Stat Smith,Stephen,Stat,Smith,,,False,ma,,,,8002197ef73c40fd8eceeb4e2af87af4,http://www.malegislature.gov/Images/MemberProfile/Web/ssmith.jpg,2011-07-08 21:34:37.486000,2013-01-04 00:07:59.483000
MAL000178,Joyce A. Spiliotis,Joyce,A.,Spiliotis,,,False,ma,,,,6bf8af80c2d64d94bce66a241813d0ec,http://www.malegislature.gov/Images/MemberProfile/Web/jspiliotis.jpg,2011-07-08 21:34:37.496000,2013-01-04 00:07:59.484000
MAL000187,David M. Torrisi,David,M.,Torrisi,,,False,ma,,,,cfd72c70739c48b8b8e2085080ebde2e,http://www.malegislature.gov/Images/MemberProfile/Web/dtorrisi.jpg,2011-07-08 21:34:37.512000,2013-01-04 00:07:59.486000
MAL000196,Daniel K. Webster,Daniel,K.,Webster,,,False,ma,,,,0739030420854ff9b6a6db66a00b9eea,http://www.malegislature.gov/Images/MemberProfile/Web/dwebster.jpg,2011-07-08 21:34:37.557000,2013-01-04 00:07:59.487000
MAL000198,Alice K. Wolf,Alice,K.,Wolf,,,False,ma,,,,5690f588c6d64667a4d74c7317e8890a,http://www.malegislature.gov/Images/MemberProfile/Web/awolf.jpg,2011-07-08 21:34:37.560000,2013-01-04 00:07:59.492000
MAL000058,Michael D. Brady,Michael,D.,Brady,,,True,ma,lower,Ninth Plymouth,Democratic,6d28e990a0f044309f09f1f1220e4abf,http://www.malegislature.gov/Images/MemberProfile/Web/mbrady.jpg,2011-07-08 21:34:37.218000,2013-03-01 00:24:17.449000
MAL000086,Carolyn C. Dykema,Carolyn,C.,Dykema,,,True,ma,lower,Eighth Middlesex,Democratic,0e77e6b10b5d42daa8bf6dd3407307ec,http://www.malegislature.gov/Images/MemberProfile/Web/cdykema.jpg,2011-07-08 21:34:37.276000,2013-03-01 00:24:17.451000
MAL000056,Nicholas A. Boldyga,Nicholas,A.,Boldyga,,,True,ma,lower,Third Hampden,Republican,877b7d64ab5047919faae575b70492f8,http://www.malegislature.gov/Images/MemberProfile/Web/nboldyga.jpg,2011-07-08 21:34:37.215000,2013-03-01 00:24:17.229000
MAL000044,James Arciero,James,,Arciero,,,True,ma,lower,Second Middlesex,Democratic,3b8bf5cfb0c24bb495abb6de145c8219,http://www.malegislature.gov/Images/MemberProfile/Web/jarciero.jpg,2011-07-08 21:34:37.192000,2013-03-01 00:24:17.059000
MAL000045,Brian M. Ashe,Brian,M.,Ashe,,,True,ma,lower,Second Hampden,Democratic,99b1d65dfb6843a5b59616492745c555,http://www.malegislature.gov/Images/MemberProfile/Web/bashe.jpg,2011-07-08 21:34:37.194000,2013-03-01 00:24:17.392000
MAL000046,Cory Atkins,Cory,,Atkins,,,True,ma,lower,Fourteenth Middlesex,Democratic,de705ffb0c3c4eab9e3f2818f3615117,http://www.malegislature.gov/Images/MemberProfile/Web/catkins.jpg,2011-07-08 21:34:37.196000,2013-03-01 00:24:16.933000
MAL000050,F. Jay Barrows,F. Jay,,Barrows,,,True,ma,lower,First Bristol,Republican,9854073ed0124a5b8bf2b0275b9278ae,http://www.malegislature.gov/Images/MemberProfile/Web/fbarrows.jpg,2011-07-08 21:34:37.203000,2013-03-01 00:24:17.253000
MAL000051,Carlo P. Basile,Carlo,P.,Basile,,,True,ma,lower,First Suffolk,Democratic,99b1d65dfb6843a5b59616492745c555,http://www.malegislature.gov/Images/MemberProfile/Web/cbasile.jpg,2011-07-08 21:34:37.205000,2013-03-01 00:24:17.046000
MAL000057,Garrett J. Bradley,Garrett,J.,Bradley,,,True,ma,lower,Third Plymouth,Democratic,a4d098f9080e4e78bdf10af391419c99,http://www.malegislature.gov/Images/MemberProfile/Web/gbradley.jpg,2011-07-08 21:34:37.216000,2013-03-01 00:24:17.368000
MAL000061,Antonio F.D. Cabral,Antonio,F.D.,Cabral,,,True,ma,lower,Thirteenth Bristol,Democratic,3aade9cf8ca34ea784473a3236b9a517,http://www.malegislature.gov/Images/MemberProfile/Web/acabral.jpg,2011-07-08 21:34:37.230000,2013-03-01 00:24:17.207000
MAL000072,Michael A. Costello,Michael,A.,Costello,,,True,ma,lower,First Essex,Democratic,cf0b121bf81e460b878f8bccccef693f,http://www.malegislature.gov/Images/MemberProfile/Web/mcostello.jpg,2011-07-08 21:34:37.251000,2013-03-01 00:24:16.250000
MAL000075,Mark J. Cusack,Mark,J.,Cusack,,,True,ma,lower,Fifth Norfolk,Democratic,,http://www.malegislature.gov/Images/MemberProfile/Web/mcusack.jpg,2011-07-08 21:34:37.256000,2013-03-01 00:24:17.026000
MAL000077,Robert A. DeLeo,Robert,A.,DeLeo,,,True,ma,lower,Nineteenth Suffolk,Democratic,f9a05e02558b47778a0fb8034fbaac31,http://www.malegislature.gov/Images/MemberProfile/Web/rdeleo.jpg,2011-07-08 21:34:37.260000,2013-03-01 00:24:15.462000
MAL000079,Brian S. Dempsey,Brian,S.,Dempsey,,,True,ma,lower,Third Essex,Democratic,479b35ff0ddc4a0c99cd600d03a5d4f9,http://www.malegislature.gov/Images/MemberProfile/Web/bdempsey.jpg,2011-07-08 21:34:37.263000,2013-03-01 00:24:17.409000
MAL000083,Paul J. Donato,Paul,J.,Donato,,,True,ma,lower,Thirty-Fifth Middlesex,Democratic,1ea4c49e338349f5a7da5c54df8761c2,http://www.malegislature.gov/Images/MemberProfile/Web/pdonato.jpg,2011-07-08 21:34:37.271000,2013-03-01 00:24:17.244000
MAL000099,William C. Galvin,William,C.,Galvin,,,True,ma,lower,Sixth Norfolk,Democratic,11f301431ba94b2694f4af000661009c,http://www.malegislature.gov/Images/MemberProfile/Web/wgalvin.jpg,2011-07-08 21:34:37.302000,2013-03-01 00:24:17.286000
MAL000118,Louis L. Kafka,Louis,L.,Kafka,,,True,ma,lower,Eighth Norfolk,Democratic,b409f261b37041b9ba0ad4d21e679d05,http://www.malegislature.gov/Images/MemberProfile/Web/lkafka.jpg,2011-07-08 21:34:37.337000,2013-03-01 00:24:17.387000
MAL000130,David Paul Linsky,David,Paul,Linsky,,,True,ma,lower,Fifth Middlesex,Democratic,45b9526520194bc8b6ee3218fc445437,http://www.malegislature.gov/Images/MemberProfile/Web/dlinsky.jpg,2011-07-08 21:34:37.359000,2013-03-01 00:24:17.321000
MAL000167,Jeffrey Sanchez,Jeffrey,,Sanchez,,,True,ma,lower,Fifteenth Suffolk,Democratic,96c7272b89764bcb88ff10f1a7828aa7,http://www.malegislature.gov/Images/MemberProfile/Web/jsanchez.jpg,2011-07-08 21:34:37.475000,2013-03-01 00:24:16.614000
MAL000168,Tom Sannicandro,Tom,,Sannicandro,,,True,ma,lower,Seventh Middlesex,Democratic,862a99f2d09744d88330912ab2b81b14,http://www.malegislature.gov/Images/MemberProfile/Web/tsannicandro.jpg,2011-07-08 21:34:37.477000,2013-03-01 00:24:16.338000
MAL000055,John J. Binienda,John,J.,Binienda,,,True,ma,lower,Seventeenth Worcester,Democratic,b5f3d3e1fb6b4d26a49e1766b71c138b,http://www.malegislature.gov/Images/MemberProfile/Web/jbinienda.jpg,2011-07-08 21:34:37.213000,2013-03-01 00:24:17.350000
MAL000213,Marjorie C. Decker,Marjorie C.,,Decker,,,True,ma,lower,Twenty-Fifth Middlesex,Democratic,f946a2af9bbf4ce1aa2945e025a0a6dc,http://www.malegislature.gov/Images/MemberProfile/Web/mdecker.jpg,2013-01-04 00:07:58.316000,2013-03-01 00:24:16.413000
MAL000220,Frank A. Moran,Frank A.,,Moran,,,True,ma,lower,Seventeenth Essex,Democratic,485f3633f89e40d3b8b3879599a0df69,http://www.malegislature.gov/Images/MemberProfile/Web/fmoran.jpg,2013-01-04 00:07:58.810000,2013-03-01 00:24:16.194000
MAL000226,Diana DiZoglio,Diana,,DiZoglio,,,True,ma,lower,Fourteenth Essex,Democratic,d7b7db91e90b4fc998000ebdbaf8df49,http://www.malegislature.gov/Images/MemberProfile/Web/ddizoglio.jpg,2013-01-06 00:08:09.690000,2013-03-01 00:24:17.396000
MAL000049,Ruth B. Balser,Ruth,B.,Balser,,,True,ma,lower,Twelfth Middlesex,Democratic,0472bfaed0a9468a9d36816f5349dc5c,http://www.malegislature.gov/Images/MemberProfile/Web/rbalser.jpg,2011-07-08 21:34:37.202000,2013-03-01 00:24:16.630000
MAL000221,David M. Rogers,David M.,,Rogers,,,True,ma,lower,Twenty-Fourth Middlesex,Democratic,5cecab55ceaa406d9bfb760f1233c57c,http://www.malegislature.gov/Images/MemberProfile/Web/drogers.jpg,2013-01-04 00:07:58.954000,2013-03-01 00:24:16.593000
MAL000059,Paul A. Brodeur,Paul,A.,Brodeur,,,True,ma,lower,Thirty-Second Middlesex,Democratic,357adb2ddda54578b66037b019696dd8,http://www.malegislature.gov/Images/MemberProfile/Web/pbrodeur.jpg,2011-07-08 21:34:37.220000,2013-03-01 00:24:16.710000
MAL000219,Lenny Mirra,Lenny,,Mirra,,,True,ma,lower,Second Essex,Republican,c9aee3a26dd346d1a497c9dfa5076183,http://www.malegislature.gov/Images/MemberProfile/Web/lmirra.jpg,2013-01-04 00:07:58.803000,2013-03-01 00:24:16.917000
MAL000223,Alan Silvia,Alan,,Silvia,,,True,ma,lower,Seventh Bristol,Democratic,2eb64407e568494b81d081d7ce7f8cdc,http://www.malegislature.gov/Images/MemberProfile/Web/asilvia.jpg,2013-01-04 00:07:59.035000,2013-03-01 00:24:17.303000
MAL000224,Aaron Vega,Aaron,,Vega,,,True,ma,lower,Fifth Hampden,Democratic,679b3e4a45c8483893893b83c1f4d434,http://www.malegislature.gov/Images/MemberProfile/Web/avega.jpg,2013-01-04 00:07:59.116000,2013-03-01 00:24:17.305000
MAL000214,Ken Gordon,Ken,,Gordon,,,True,ma,lower,Twenty-First Middlesex,Democratic,,http://www.malegislature.gov/Images/MemberProfile/Web/kgordon.jpg,2013-01-04 00:07:58.526000,2013-03-01 00:24:17.398000
MAL000087,Lori A. Ehrlich,Lori,A.,Ehrlich,,,True,ma,lower,Eighth Essex,Democratic,215f62c2e73546c4afa481ad37f91550,http://www.malegislature.gov/Images/MemberProfile/Web/lehrlich.jpg,2011-07-08 21:34:37.278000,2013-03-01 00:24:17.445000
MAL000231,Claire D. Cronin,Claire D.,,Cronin,,,True,ma,lower,Eleventh Plymouth,Democratic,5a9a9b296d084904b2c7d48a2a75dbb4,http://www.malegislature.gov/Images/MemberProfile/Web/ccronin.jpg,2013-01-09 00:08:03.657000,2013-03-01 00:24:17.068000
MAL000065,James M. Cantwell,James,M.,Cantwell,,,True,ma,lower,Fourth Plymouth,Democratic,23a38da991d2442987c4e3efa65bf81e,http://www.malegislature.gov/Images/MemberProfile/Web/jcantwell.jpg,2011-07-08 21:34:37.238000,2013-03-01 00:24:17.297000
MAL000066,Gailanne M. Cariddi,Gailanne,M.,Cariddi,,,True,ma,lower,First Berkshire,Democratic,52ce90e4f7b34d84a8b24f4c76276ad0,http://www.malegislature.gov/Images/MemberProfile/Web/gcariddi.jpg,2011-07-08 21:34:37.240000,2013-03-01 00:24:17.024000
MAL000068,Cheryl A. Coakley-Rivera,Cheryl,A.,Coakley-Rivera,,,True,ma,lower,Tenth Hampden,Democratic,eb45f7ef032448de93a13a56aa9c98a5,http://www.malegislature.gov/Images/MemberProfile/Web/ccoakleyrivera.jpg,2011-07-08 21:34:37.243000,2013-03-01 00:24:17.412000
MAL000070,Thomas P. Conroy,Thomas,P.,Conroy,,,True,ma,lower,Thirteenth Middlesex,Democratic,0dcc6b5703814d839ce7e29fce86b724,http://www.malegislature.gov/Images/MemberProfile/Web/tconroy.jpg,2011-07-08 21:34:37.247000,2013-03-01 00:24:16.503000
MAL000074,Sean Curran,Sean,,Curran,,,True,ma,lower,Ninth Hampden,Democratic,,http://www.malegislature.gov/Images/MemberProfile/Web/scurran.jpg,2011-07-08 21:34:37.254000,2013-03-01 00:24:16.664000
MAL000078,Viriato Manuel deMacedo,Viriato,Manuel,deMacedo,,,True,ma,lower,First Plymouth,Republican,8d7f32134fba48a29b0edd40c49b244d,http://www.malegislature.gov/Images/MemberProfile/Web/vdemacedo.jpg,2011-07-08 21:34:37.262000,2013-03-01 00:24:17.461000
MAL000080,Marcos A. Devers,Marcos,A.,Devers,,,True,ma,lower,Sixteenth Essex,Democratic,9560a5a9f31c4649810eefbf90327300,http://www.malegislature.gov/Images/MemberProfile/Web/mdevers.jpg,2011-07-08 21:34:37.265000,2013-03-01 00:24:16.100000
MAL000085,James J. Dwyer,James,J.,Dwyer,,,True,ma,lower,Thirtieth Middlesex,Democratic,c228b07d42c5416998269cbb614e73ec,http://www.malegislature.gov/Images/MemberProfile/Web/jdwyer.jpg,2011-07-08 21:34:37.275000,2013-03-01 00:24:17.394000
MAL000088,Christopher G. Fallon,Christopher,G.,Fallon,,,True,ma,lower,Thirty-Third Middlesex,Democratic,29b09a95db164273a68bf83c3575e41f,http://www.malegislature.gov/Images/MemberProfile/Web/cfallon.jpg,2011-07-08 21:34:37.280000,2013-03-01 00:24:16.747000
MAL000089,Ryan C. Fattman,Ryan,C.,Fattman,,,True,ma,lower,Eighteenth Worcester,Republican,cb67c087ef144347ac113e029575359f,http://www.malegislature.gov/Images/MemberProfile/Web/rfattman.jpg,2011-07-08 21:34:37.282000,2013-03-01 00:24:16.780000
MAL000091,Kimberly N. Ferguson,Kimberly,N.,Ferguson,,,True,ma,lower,First Worcester,Republican,8382e97704df4330ac2f3e6baa840f6a,http://www.malegislature.gov/Images/MemberProfile/Web/kferguson.jpg,2011-07-08 21:34:37.287000,2013-03-01 00:24:16.151000
MAL000092,John V. Fernandes,John,V.,Fernandes,,,True,ma,lower,Tenth Worcester,Democratic,f4b90e10ff004822adcce72ad7a717bb,http://www.malegislature.gov/Images/MemberProfile/Web/jfernandes.jpg,2011-07-08 21:34:37.289000,2013-03-01 00:24:17.018000
MAL000093,Ann-Margaret Ferrante,Ann-Margaret,,Ferrante,,,True,ma,lower,Fifth Essex,Democratic,ccbc097f1d3f44f18de61a44d008856a,http://www.malegislature.gov/Images/MemberProfile/Web/amferrante.jpg,2011-07-08 21:34:37.291000,2013-03-01 00:24:16.875000
MAL000094,Michael J. Finn,Michael,J.,Finn,,,True,ma,lower,Sixth Hampden,Democratic,051fac4850a04960a4ae057666ca128a,http://www.malegislature.gov/Images/MemberProfile/Web/mfinn.jpg,2011-07-08 21:34:37.292000,2013-03-01 00:24:17.028000
MAL000095,Linda Dorcena Forry,Linda,Dorcena,Forry,,,True,ma,lower,Twelfth Suffolk,Democratic,c5d5cb4bbd754c8cbdf964a904b2b160,http://www.malegislature.gov/Images/MemberProfile/Web/ldorcenaforry.jpg,2011-07-08 21:34:37.294000,2013-03-01 00:24:15.982000
MAL000096,Gloria L. Fox,Gloria,L.,Fox,,,True,ma,lower,Seventh Suffolk,Democratic,7042e9986e3e4ea9be34401a29498932,http://www.malegislature.gov/Images/MemberProfile/Web/gfox.jpg,2011-07-08 21:34:37.296000,2013-03-01 00:24:17.416000
MAL000097,John P. Fresolo,John,P.,Fresolo,,,True,ma,lower,Sixteenth Worcester,Democratic,ecbcc476afcf40c3adfb74d25cf7b43a,http://www.malegislature.gov/Images/MemberProfile/Web/jfresolo.jpg,2011-07-08 21:34:37.298000,2013-03-01 00:24:17.428000
MAL000098,Paul K. Frost,Paul,K.,Frost,,,True,ma,lower,Seventh Worcester,Republican,377899e092b44b33849ef26d091cc07d,http://www.malegislature.gov/Images/MemberProfile/Web/pfrost.jpg,2011-07-08 21:34:37.300000,2013-03-01 00:24:17.374000
MAL000101,Denise C. Garlick,Denise,C.,Garlick,,,True,ma,lower,Thirteenth Norfolk,Democratic,0698ce2ea67d4952bf054d2a68e24c58,http://www.malegislature.gov/Images/MemberProfile/Web/dgarlick.jpg,2011-07-08 21:34:37.306000,2013-03-01 00:24:16.638000
MAL000102,Colleen M. Garry,Colleen,M.,Garry,,,True,ma,lower,Thirty-Sixth Middlesex,Democratic,a488cc9d0d7e4bc2849364ae2f532afa,http://www.malegislature.gov/Images/MemberProfile/Web/cgarry.jpg,2011-07-08 21:34:37.307000,2013-03-01 00:24:17.290000
